Event,Info
Load & Drag,"3 implements / 10 meters / 2x 110 kg sacks, 350 kg cart "
 Log Lift,158 kg / 75 second time limit 
 Bus Pull,15000 kg / 25 meters / 60 second time limit 
 Deadlift,350 kg / 60 second time limit 
 Elephant Carry,200 kg 
 Last Man Standing,160 kg / 10 second time limit
