#,Competitor,Country,TOT. PTS,Loading Race,Pts,Deadlift,Pts,Circus Barbell,Pts,Kettlebell Throw,Pts,Bus Pull,Pts,Atlas Stones,Pts
1,B. Shaw,USA,36.5,3 in 43.19 s,5,8 reps,6,4 reps,5.5,7 in 42.07 s,6,46.48 s,6,3 in 15.16 s,8
2,J. Caron,CAN,33,3 in 38.77 s,6,7 reps,5,2 reps,3,4 in 28.43 s,3,23.64 m,4,4 in 30.99 s,12
3,M. Forsmark,SWE,26.5,2 in 29.16 s,3,4 reps,3.5,2 reps,3,1 in 14.02 s,2,24.22 m,5,4 in 36.72 s,10
4,R. Oberst,USA,20.5,2 in 34.88 s,2,1 rep,1,4 reps,5.5,5 in 52.55 s,5,18.38 m,3,2 in 19.57 s,4
5,A. Bishop,GBR,16,2 in 41.54 s,1,3 reps,2,1 rep,1,4 in 28.41 s,4,13.25 m,2,3 in 33.93 s,6
6,M. Baron,POL,10.5,3 in 52.04 s,4,4 reps,3.5,2 reps,3,Withdrew,0,Withdrew,0,Withdrew,0
