#,Competitor,Country,TOT. PTS,Carry & Drag,Pts,Truck Pull,Pts,Loading Race,Pts,Crucifix Hold,Pts,Deadlift Hold,Pts,Medley,Pts
1,H. Girard,CAN,34,15.82 m,6,40.41 s,5,5 in 50.81 s,6,63.91 s,6,88.69 s,6,50.14 s,5
2,T. Ã“lafsson,ISL,27,8.37 m,3,38.88 s,6,5 in 53.82 s,5,40.47 s,2,81.90 s,5,50.04 s,6
3,K. Brown,USA,22,10.13 m,4,45.69 s,2,5 in 64.25 s,4,51.19 s,5,78.47 s,3,55.66 s,4
3,R. VÃ¡gadal,FRO,22,15.06 m,5,42.06 s,4,5 in 70.20 s,3,47.81 s,4,79.97 s,4,DNF,2
5,H. DÃ¶rer,AUT,12,7.24 m,2,47.90 s,1,4 implements,2,44.09 s,3,59.00 s,1,64.09 s,3
6,L. Bowers,ENG,9,4.52 m,1,43.16 s,3,4 implements,1,40.04 s,1,71.34 s,2,DNF,1
