#,Competitor,Country,TOT. PTS,Medley,Pts,Fingal's Fingers,Pts,Hercules Hold,Pts,Deadlift,Pts,Safe Lift,Pts,Atlas Stones,Pts
1,T. Mitt,EST,24,25.89 s,4,5 in 42.49 s,1,52.49 s,4,6 in 33.82 s,5,18 reps,5,5 in 20.45 s,5
2,P. Pfister,USA,21,25.43 s,5,5 in 32.29 s,5,58.07 s,5,3 in 16.36 s,1,16 reps,4,1 in 4.03 s,1
3,E. Nigmatullin,RUS,16,51.83 s,1,5 in 42.13 s,2,37.27 s,3,6 in 36.53 s,4,9 reps,3,5 in 25.32 s,3
4,D. Filiou,CAN,15.5,30.29 s,3,5 in 40.30 s,4,24.55 s,1,5 in 32.49 s,2,8 reps,1.5,5 in 20.80 s,4
5,D. Sadler,ENG,13.5,41.62 s,2,5 in 41.22 s,3,32.73 s,2,5 in 25.37 s,3,8 reps,1.5,5 in 32.68 s,2
