#,Competitor,Country,TOT. PTS,Super Yoke,Pts,Deadlift,Pts,Wheelbarrow Carry,Pts,Tire Flip,Pts
1,G. Badenhorst,RSA,14,18.41 s,4,14 reps,2,16.56 s,4,20.6 m,4
2,L. Bowers,ENG,10.5,23.59 s,3,15 reps,3.5,5.96 m,1,20.4 m,3
3,R. Ber,AUT,10.5,24.57 m,2,15 reps,3.5,30.10 s,3,19.73 m,2
4,G. Pujadas,ESP,5,-,1,0 reps,1,6.36 m,2,18.76 m,1
