#,Competitor,Country,TOT. PTS,Truck Pull,Pts,Giant's Medley,Pts,Deadlift,Pts,Log Lift,Pts,Last Man Standing,Pts
1,M. Licis,USA,19,41.33 s,4,3 in 21.09 s,5,9 reps,5,6 in 41.11 s,5,Qualified,0
2,T. Stoltman,GBR,11.5,20.2 m,2,3 in 25.69 s,4,8 reps,3.5,5 in 48.02 s,2,9 reps,0
3,A. Å maukstelis,LAT,12,54.74 s,3,3 in 34.40 s,3,5 reps,2,6 in 54.72 s,4,8 reps,0
4,M. Shivlyakov,RUS,9.5,17.4 m,1,3 in 35.61 s,2,8 reps,3.5,5 in 39.22 s,3,Eliminated,0
5,E. Williams,AUS,8,41.11 s,5,3 in 38.84 s,1,2 reps,1,2 in 19.72 s,1,Eliminated,0
