#,Competitor,Country,TOT. PTS,Wheelbarrow Carry,Pts,Loading Race,Pts,Deadlift Hold,Pts,Leg Press,Pts
1,G. Badenhorst,RSA,19,56.20 s,4,5 in 59.06 s,5,99.19 s,6,12 reps,4
2,F. Cowan,SCO,18,20.99 s,6,5 in 54.10 s,6,74.15 s,5,1 rep,1
3,B. Lyndon,AUS,14,22.62 m,2,5 in 69.48 s,4,55.06 s,2,22 reps,6
3,E. Popov,BUL,14,54.37 s,5,4 in 85.30 s,2,73.48 s,4,11 reps,3
5,H. Ã�rnason,ISL,12,69.80 s,3,4 in 90.00 s,1,69.90 s,3,18 reps,5
6,P. Martin,USA,7,13.64 m,1,4 in 50.67 s,3,44.68 s,1,10 reps,2
