,#,Competitor,Country,TOT. PTS,Farmer's Walk,Pts,Deadlift,Pts,Loading Race,Pts,Overhead Medley,Pts,Atlas Stones,Pts
0,1,K. Faires,USA,14,52 m,4,6 reps,2,5 in 42.94 s,5,5 in 54.41 s,3,Qualified,0
1,2,A. Bishop,GBR,11,30.48 m,1,9 reps,4,5 in 44.81 s,4,3 in 20.41 s,2,6 in 53.04 s,0
2,3,M. Shivlyakov,RUS,13,42 m,2,9 reps,4,5 in 51.18 s,2,6 in 67.34 s,5,5 in 34.19 s,0
3,4,E. Singleton,USA,13,52.25 m,5,4 reps,1,5 in 46.47 s,3,5 in 53.49 s,4,Withdrew,0
4,5,M. Felix,GBR,9,42.67 m,3,9 reps,4,4 in 41.28 s,1,2 in 19.56 s,1,Eliminated,0
