,#,Competitor,Country,TOT. PTS,Loading Race,Pts,Truck Pull,Pts,Dumbbell Press,Pts,Deadlift,Pts,Keg Toss,Pts,Atlas Stones,Pts
0,1,Ž. Savickas,LTU,31.5,4 in 38.41 s,4,29.94 s,6,9 reps,5,12 reps,4.5,8 in 19.12 s,6,5 in 35.85 s,6
1,2,J. Caron,CAN,29,4 in 36.87 s,6,33.22 s,4,7 reps,4,14 reps,6,7 in 75.00 s,4,5 in 37.43 s,5
2,3,D. Poundstone,USA,27.5,4 in 37.47 s,5,34.09 s,3,11 reps,6,12 reps,4.5,8 in 21.47 s,5,5 in 51.94 s,4
3,4,M. Baron,POL,15,4 in 52.02 s,1,32.40 s,5,3 reps,2,11 reps,3,4 in 75.00 s,1,3 in 31.40 s,3
4,5,J. McIntosh,ENG,13,4 in 47.24 s,3,36.62 s,2,4 reps,3,3 reps,1,6 in 75.00 s,3,2 in 23.58 s,1
5,6,F. Scheun,RSA,10,4 in 47.40 s,2,37.97 s,1,2 reps,1,6 reps,2,5 in 75.00 s,2,3 in 52.68 s,2
