,#,Competitor,Country,TOT. PTS,Carry & Drag,Pts,Truck Pull,Pts,Deadlift,Pts,Fingal's Fingers,Pts,Keg Toss,Pts,Atlas Stones,Pts
0,1,T. Hollands,ENG,29,36.41 s,5,40.50 s,6,7 in 32.70 s,6,4 in 27.83 s,5,6 in 75.00 s,4,5 in 44.05 s,3
1,2,D. Ostlund,USA,26,42.15 s,2,46.28 s,4,6 in 30.96 s,4,5 in 33.84 s,6,6 in 75.00 s,4,5 in 26.66 s,6
2,3,A. Murumets,EST,26,34.38 s,6,47.07 s,3,6 in 30.89 s,5,4 in 45.45 s,3,6 in 75.00 s,4,5 in 30.03 s,5
3,4,C. Savoie,CAN,18,37.78 s,4,45.91 s,5,6 in 38.79 s,3,3 in 22.83 s,1,4 in 75.00 s,1,5 in 32.85 s,4
4,5,J. Dymek,POL,15,46.14 s,1,16.2 m,1,5 in 24.30 s,2,4 in 32.47 s,4,7 in 75.00 s,6,4 in 34.49 s,1
5,6,F. Trimpl,GER,12,41.98 s,3,57.43 s,2,5 in 32.74 s,1,4 in 49.85 s,2,5 in 75.00 s,2,4 in 32.66 s,2
