,#,Competitor,Country,TOT. PTS,Loading Race,Pts,Deadlift,Pts,Viking Press,Pts,Fingal's Fingers,Pts,Truck Pull,Pts,Atlas Stones,Pts
0,1,Ž. Savickas,LTU,29.5,4 in 41.59 s,5,8 reps,5,15 reps,5.5,5 in 34.23 s,5,27.44 s,6,4 in 25.46 s,3
1,2,M. Burke,USA,27.5,4 in 39.36 s,6,2 reps,3,13 reps,3.5,5 in 33.36 s,6,29.06 s,5,4 in 25.40 s,4
2,3,K. Radzikowski,POL,22.5,4 in 61.97 s,2,7 reps,4,15 reps,5.5,4 in 26.51 s,4,18.1 m,2,5 in 38.93 s,5
3,4,M. Felix,ENG,22,4 in 48.30 s,4,10 reps,6,7 reps,1,3 in 25.94 s,2,19.1 m,3,5 in 32.87 s,6
4,5,B. Solvang,NOR,14,3 in 32.62 s,1,1 rep,1.5,13 reps,3.5,4 in 44.56 s,3,32.03 s,4,1 in 4.94 s,1
5,6,A. Moonen,NED,10.5,4 in 49.92 s,3,1 rep,1.5,12 reps,2,3 in 29.97 s,1,15.2 m,1,3 in 33.67 s,2
