,#,Competitor,Country,TOT. PTS,Loading Race,Pts,Norse Hammers,Pts,Squat Lift,Pts,Basque Circle,Pts,Dumbbell Press,Pts,Atlas Stones,Pts
0,1,H. Björnsson,ISL,38,3 in 41.38 s,6,3 in 52.70 s,6,5 reps,5,24.00 m,6,2 reps,3,4 in 20.96 s,12
1,2,D. Savatinov,BUL,31,3 in 58.02 s,5,2 in 35.50 s,4,1 rep,2,22.10 m,4,8 reps,6,4 in 28.53 s,10
2,3,R. Kobylarz,POL,26,2 in 36.47 s,3,2 in 33.53 s,5,0 reps,0,22.25 m,5,4 reps,5,4 in 36.50 s,8
3,4,J. Thigpen,USA,19,2 in 26.78 s,4,0 in 60.00 s,0,6 reps,6,21.10 m,3,Did not attempt,0,3 in 21.51 s,6
4,5,Á. Nagy,HUN,17,1 in 23.03 s,1,1 in 28.92 s,2,4 reps,4,19.45 m,2,3 reps,4,2 in 19.50 s,4
5,6,G. Hicks,GBR,8,1 in 7.12 s,2,2 in 40.02 s,3,2 reps,3,Withdrew,0,Withdrew,0,Withdrew,0
