,#,Competitor,Country,TOT. PTS,Farmer's Walk,Pts,Deadlift,Pts,Loading Race,Pts,Overhead Medley,Pts,Atlas Stones,Pts
0,1,B. Shaw,USA,15.5,40.1 m,4,6 reps,4.5,5 in 54.21 s,2,9 in 74.24 s,5,Qualified,0
1,2,A. Šmaukstelis,LAT,13.5,36.56 m,3,5 reps,2.5,5 in 40.50 s,5,3 in 25.13 s,3,7 in 39.57 s,0
2,3,T. Hollands,GBR,14.5,52 m,5,6 reps,4.5,5 in 52.68 s,3,1 in 15.16 s,2,6 in 33.43 s,0
3,4,L. Stoltman,GBR,11.5,28.86 m,1,5 reps,2.5,5 in 42.31 s,4,4 in 34.02 s,4,Eliminated,0
4,5,N. Best,USA,4,29.56 m,2,1 rep,1,4 in 81.88 s,1,0 in 75.00 s,0,Eliminated,0
