,#,Competitor,Country,TOT. PTS,Loading Race,Pts,Truck Pull,Pts,Deadlift,Pts,Super Yoke,Pts,Viking Press,Pts,Atlas Stones,Pts
0,1,Ž. Savickas,LTU,28.5,4 in 39.52 s,5,37.00 s,6,6 in 28.10 s,5,17.75 s,4,13 reps,5.5,3 in 20.02 s,3
1,2,L. Shahlaei,ENG,25.5,4 in 47.43 s,1,40.76 s,5,6 in 28.08 s,6,13.52 s,6,7 reps,3.5,4 in 37.13 s,4
2,3,M. Felix,ENG,23.5,4 in 45.85 s,3,42.88 s,4,6 in 29.05 s,4,25.87 s,3,7 reps,3.5,5 in 34.26 s,6
3,4,N. Best,USA,22,4 in 39.35 s,6,46.31 s,3,3 in 15.85 s,1,16.83 s,5,6 reps,2,4 in 26.91 s,5
4,5,B. Solvang,NOR,16.5,4 in 43.59 s,4,48.58 s,2,3 in 15.73 s,2,0.6 m,1,13 reps,5.5,3 in 36.38 s,2
5,6,E. le Roux,AUS,9,4 in 46.23 s,2,56.54 s,1,5 in 33.61 s,3,15.1 m,2,0 reps,0,3 in 51.04 s,1
