,#,Competitor,Country,TOT. PTS,Loading Race,Pts,Truck Pull,Pts,Viking Press,Pts,Super Yoke,Pts,Deadlift,Pts,Atlas Stones,Pts
0,1,T. Hollands,ENG,30,4 in 37.64 s,6,27.47 s,6,7 reps,3,18.71 s,6,8 reps,4,5 in 45.43 s,5
1,2,K. Radzikowski,POL,27.5,4 in 37.74 s,5,32.41 s,4,14 reps,6,20.31 s,5,11 reps,5.5,2 in 8.02 s,2
2,3,M. Burke,USA,24,4 in 45.18 s,3,32.47 s,3,11 reps,5,23.09 s,4,5 reps,3,6 in 32.03 s,6
3,4,A. Moonen,NED,19,4 in 60.56 s,1,32.19 s,5,9 reps,4,32.81 s,3,3 reps,2,4 in 46.61 s,4
4,5,J. Fennelly,IRL,18.5,4 in 39.76 s,4,37.41 s,2,1 rep,2,38.69 s,2,11 reps,5.5,3 in 45.93 s,3
5,6,E. le Roux,AUS,5,4 in 46.71 s,2,39.22 s,1,0 reps,0,23.1 m,1,1 rep,1,0 in 75.00 s,0
