#,Competitor,Country,TOT. PTS,Arm Over Arm Pull,Pts,Truck Pull,Pts,Back Lift,Pts,Medley,Pts,Rock Press,Pts,Front Hold,Pts,Loading Race,Pts,Back Load Carry,Pts
1,J. Sigmarsson,ISL,48.5,57.70 s,3,30.90 s,6,850 kg,5.5,84.00 s,8,120 kg,6,,5,5 in 31.00 s,7,50.00 s,8
2,O. Wilson,USA,48,53.33 s,7,25.04 s,8,875 kg,7,124.00 s,2,120 kg,6,,8,5 in 27.00 s,8,,2
3,I. Nummisto,FIN,39,57.52 s,4,35.62 s,2,925 kg,8,86.00 s,7,,1,,6,5 in 39.00 s,5,,6
4,H. Thorsen,DEN,34,59.61 s,2,32.90 s,5,,4,94.00 s,6,120 kg,6,,1,5 in 34.00 s,6,,4
5,A. Smith,GBR,33.5,50.32 s,8,35.42 s,3,850 kg,5.5,130.00 s,1,110 kg,4,,3,,4,,5
6,L. Fekete,HUN,31,65.34 s,1,35.24 s,4,,2,109.00 s,4,125 kg,8,,7,,2,,3
7,T. van den Bosch,NED,28.5,55.46 s,6,29.40 s,7,,2,101.00 s,5,,2.5,,2,,3,,1
8,A. Uspenski,EST,25.5,55.86 s,5,46.98 s,1,,2,111.00 s,3,,2.5,,4,,1,52.75 s,7
