Event,Info
Bag Over Bar,Height: 4.57 metres 
 Stone to Shoulder,"186 kg / Lift = 1 pt, lap = 2 pts, standing up = 3 pts, to chest = 4 pts, every full rep = 5 pts "
 Timber Carry,400 kg / 11 meters 
 Max Deadlift,Elephant bar 
 Apollon's Wheels,181 kg
