Event,Info
Giant's Medley,"25 meters / 75 second time limit / 125 kg anvil (10 metres), 454 kg yoke (15 metres) "
 Max Deadlift,18-inch deadlift 
 Keg Toss,"8 implements / 60 second time limit / 18 to 25 kg, 4.50 metres "
 Log Ladder,5 implements / 75 second time limit / 131 to 182.5 kg 
 Atlas Stones,5 implements / 60 second time limit / 150 to 210 kg
