Event,Info
Loading Race,4 implements / 75 second time limit / 4x 111 kg barrels 
 Safe Lift,115 kg / 75 second time limit 
 Fingal's Fingers,5 implements / 75 second time limit / 200 to 300 kg 
 Deadlift,345 kg / 75 second time limit / Car deadlift 
 Car Walk,400 kg / 25 meters / 75 second time limit 
 Atlas Stones,5 implements / 75 second time limit / 100 to 160 kg
