Event,Info
Axle Death-Lift,"5 lifts, 300 to 440 kg / 15-inch axle / 45 seconds per lift "
 Dumbbell Press,100 kg / 75 second time limit 
 Loading Race,"3 implements / 100 kg tire (15 m), 120 kg stone (10 m), 140 kg shield (5 m) "
 Atlas Stones,10 implements / 120 second time limit / 100 to 200 kg 
 Flag Hoist,60 second time limit
