Event,Info
Max Deadlift,18-inch deadlift 
 Overhead Medley,"4 implements / 160 kg log, 100 kg dumbbell, 160 kg axle, 140 kg shield "
 Super Yoke,580 kg / 15 meters 
 Atlas Stones,5 implements / 170 to 225 kg
