Event,Info
0,Super Yoke,355 kg / 25 meters 
1, Africa Stone,175 kg 
2, Basque Circle,350 kg 
3, Fingal's Fingers,5 implements / 200 to 300 kg 
4, Atlas Stones,5 implements / 95 to 160 kg
