Event,Info
0,Load & Drag,"3 implements / 10 meters / 2x 110 kg sacks, 350 kg cart "
1, Log Lift,158 kg / 75 second time limit 
2, Bus Pull,15000 kg / 25 meters / 60 second time limit 
3, Deadlift,350 kg / 60 second time limit 
4, Elephant Carry,200 kg 
5, Last Man Standing,160 kg / 10 second time limit
