Event,Info
0,Loading Race,3 implements / 14 meters / 75 second time limit / 3x 130 kg oil drums 
1, Hercules Hold,180 kg 
2, Truck Pull,18000 kg / 25 meters / 60 second time limit 
3, Squat Lift,325 kg / 60 second time limit 
4, Dumbbell Press,100 kg / 60 second time limit 
5, Atlas Stones,5 implements / 60 second time limit / 138 to 200 kg
