Event,Info
0,Loading Race,4 implements / 12 meters / 75 second time limit / 4x 125 kg sacks 
1, Truck Pull,18000 kg / 25 meters / 60 second time limit 
2, Keg Toss,"15 kg / For max height, 3 attempts to clear each height "
3, Deadlift,363 kg / 60 second time limit / Car deadlift 
4, Atlas Stones,5 implements / 60 second time limit / 138 to 200 kg 
5, Viking Press,154 kg / 60 second time limit / No resting allowed
