Event,Info
0,Tire Flip,400 kg / 25 meters 
1, Africa Stone,175 kg 
2, Power Stairs,200 kg / 24 stairs 
3, Basque Circle,350 kg 
4, Axle Press,120 kg / 75 second time limit 
5, Atlas Stones,5 implements / 95 to 160 kg
