Event,Info
0,Farmer's Walk,120 kg / 70 meters / 75 second time limit 
1, Train Pull,16000 kg / 16 meters / 75 second time limit 
2, Deadlift,295 kg / 75 second time limit / Car deadlift 
3, Atlas Stones,5 implements / 75 second time limit / 100 to 160 kg 
4, Log Medley,4 implements / 75 second time limit / 110 to 155 kg 
5, Tire Flip,400 kg / 25 meters / 75 second time limit
