Event,Info
0,Load & Carry,"3 implements / 12 meters / 75 second time limit / 2x 150 kg sacks, 150 kg farmer's walk "
1, Circle of Strength,300 kg 
2, Squat Lift,"7 lifts, 270 to 360 kg "
3, Arm Over Arm Pull,6850 kg / 25 meters / 60 second time limit 
4, Log Lift,160 kg / 60 second time limit 
5, Atlas Stones,5 implements / 60 second time limit / 150 to 200 kg
