Event,Info
Farmer's Walk,160 kg / 40 meters / 75 second time limit 
 Squat Lift,345 kg / 75 second time limit 
 Africa Stone,175 kg 
 Axle Press,155 kg / 75 second time limit 
 Deadlift Hold,370 kg 
 Loading Race,4 implements / 75 second time limit / 4x 110 kg kegs
