Event,Info
0,Super Yoke,450 kg / 30 meters / 60 second time limit 
1, Deadlift Hold,360 kg 
2, Axle Press,162 kg / 60 second time limit 
3, Truck Pull,12000 kg / 25 meters / 75 second time limit 
4, Keg Toss,"8 implements / 75 second time limit / 18 to 25 kg, 4.80 metres "
5, Atlas Stones,5 implements / 75 second time limit / 130 to 186 kg
