Event,Info
Farmer's Walk,160 kg / 40 meters / 75 second time limit 
 Power Stairs,225 kg / 75 second time limit / 12 stairs 
 Deadlift,345 kg / 75 second time limit 
 Africa Stone,175 kg 
 Block Press,4 implements / 75 second time limit / 110 to 150 kg 
 Loading Race,4 implements / 75 second time limit / 4x 110 kg kegs
