Event,Info
0,Medley,"40 meters / 75 second time limit / 125 kg farmer's walk, 7x 450 kg tire flip (20 metres each) "
1, Truck Pull,20000 kg / 20 meters / 75 second time limit 
2, Power Stairs,225 kg / 75 second time limit / 12 stairs 
3, Deadlift,345 kg / 75 second time limit 
4, Axle Press,155 kg / 75 second time limit 
5, Loading Race,4 implements / 75 second time limit / 4x 110 kg kegs
