Event,Info
0,Loading Race,5 implements / 75 second time limit 
1, Deadlift Ladder,"75 second time limit / 5 bars, 300 to 380 kg "
2, Car Walk,430 kg / 20 meters / 60 second time limit 
3, Log Lift,145 kg / 75 second time limit 
4, Wrecking Ball Hold,228 kg
