Event,Info
0,Loading Race,"4 implements / 60 second time limit / 2 kegs: 120 kg, 2 sacks: 125 kg "
1, Truck Pull,12000 kg / 30 meters / 60 second time limit 
2, Squat Lift,"60 second time limit / 7 lifts, 280 to 370 kg "
3, Super Yoke,455 kg / 25 meters / 60 second time limit 
4, Log Lift,150 kg / 60 second time limit 
5, Atlas Stones,5 implements / 60 second time limit / 130 to 186 kg
