Event,Info
0,Load & Carry,"3 implements / 12 meters / 75 second time limit / 2x 150 kg sacks, 150 kg farmer's walk "
1, Kettlebell Throw,"8 implements / 60 second time limit / 21 to 30 kg, 4.75 metres "
2, Deadlift,"60 second time limit / 7 lifts, 290 to 380 kg "
3, Arm Over Arm Pull,6850 kg / 25 meters / 60 second time limit 
4, Dumbbell Press,4 implements / 60 second time limit / 90 to 120 kg 
5, Atlas Stones,5 implements / 60 second time limit / 150 to 200 kg
