Event,Info
0,Loading Race,4 implements / 75 second time limit / 4x 125 kg anvils 
1, Truck Pull,8000 kg / 30 meters / 75 second time limit 
2, Viking Press,155 kg / 75 second time limit / No resting allowed 
3, Super Yoke,455 kg / 25 meters / 75 second time limit 
4, Squat Lift,318 kg / 75 second time limit 
5, Atlas Stones,5 implements / 75 second time limit / 125 to 186 kg
