Event,Info
0,Carry & Drag,"75 second time limit / Cannonball + keg load into cart, 335 kg drag for 20 metres "
1, Truck Pull,20000 kg / 25 meters / 75 second time limit 
2, Deadlift,"75 second time limit / 7 lifts, 270 to 363 kg "
3, Car Walk,431 kg / 25 meters / 75 second time limit 
4, Dumbbell Press,95 kg / 75 second time limit 
5, Atlas Stones,5 implements / 75 second time limit / 100 to 160 kg
