Event,Info
0,Loading Medley,90 second time limit / Loading: 2 barrels (100 kg each) + anvil (125 kg) / Frame Carry: 380 kg (12 m)	 
1, Deadlift,345 kg / 60 second time limit 
2, Train Push,50000 kg / 20 meters / 75 second time limit 
3, Overhead Medley,"4 implements / 75 second time limit / 95 kg dumbbell, 100 kg dumbbell, 155 kg barbell, 163 kg axle "
4, Pickaxe Hold,27 kg 
5, Stone Off,6 implements / 140 to 210 kg
