Event,Info
0,Medley,"40 meters / 90 second time limit / 100 kg anchor carry (10 m), 300 kg chain drag (10 m), 225 kg duck walk (20 m) "
1, Viking Press,130 kg / 75 second time limit / Resting allowed 
2, Deadlift,"75 second time limit / 7 lifts, 210 to 340 kg "
3, Truck Pull,7250 kg / 25 meters / 75 second time limit 
4, Fingal's Fingers,5 implements / 75 second time limit / 200 to 300 kg 
5, Atlas Stones,5 implements / 75 second time limit / 100 to 160 kg
