Event,Info
0,Medley,"32 meters / 75 second time limit / 225 kg duck walk (10 m), 100 kg barrel (10 m), 111 kg barrel (12 m) "
1, Fingal's Fingers,5 implements / 75 second time limit / 200 to 300 kg 
2, Hercules Hold,160 kg 
3, Deadlift,"75 second time limit / 7 lifts, 265 to 340 kg "
4, Safe Lift,115 kg / 75 second time limit 
5, Atlas Stones,5 implements / 75 second time limit / 100 to 160 kg
