Event,Info
0,Truck Pull,12000 kg / 22 meters / 75 second time limit 
1, Giant's Medley,"3 implements / 21 meters / 75 second time limit / 150 kg farmer's walk, 450 kg yoke, 600 kg yoke "
2, Deadlift,375 kg / 60 second time limit / Car deadlift 
3, Log Lift,155 kg / 75 second time limit 
4, Last Man Standing,180 kg / 20 second time limit
