Event,Info
0,Loading Race,4 implements / 60 second time limit / 4x 125 kg anvils 
1, Fingal's Fingers,5 implements / 60 second time limit / 200 to 320 kg 
2, Deadlift,"60 second time limit / 7 lifts, 280 to 370 kg "
3, Car Walk,455 kg / 25 meters / 60 second time limit 
4, Log Lift,150 kg / 60 second time limit 
5, Atlas Stones,5 implements / 60 second time limit / 130 to 186 kg
