Event,Info
Load & Drag,"3 implements / 10 meters / 75 second time limit / 2x 110 kg sacks, 310 kg cart "
 Log Lift,158 kg / 75 second time limit 
 Bus Pull,15000 kg / 25 meters / 60 second time limit 
 Deadlift,350 kg / 60 second time limit 
 Bullion Toss,"8 implements / 60 second time limit / 17.5 to 25 kg, 4.75 metres "
 Last Man Standing,160 kg / 15 second time limit
