Event,Info
0,Load & Drag,"3 implements / 12 meters / 75 second time limit / 2x 110 kg sacks, 350 kg cart "
1, Log Lift,158 kg / 75 second time limit 
2, Fingal's Fingers,5 implements / 60 second time limit / 145 to 170 kg 
3, Deadlift,350 kg / 60 second time limit 
4, Bullion Toss,"8 implements / 60 second time limit / 17.5 to 25 kg, 4.75 metres "
5, Last Man Standing,160 kg / 15 second time limit
