Event,Info
0,Medley,"32 meters / 75 second time limit / 225 kg duck walk (10 m), 100 kg barrel (10 m), 111 kg barrel (12 m) "
1, Hercules Hold,160 kg 
2, Log Lift,125 kg / 75 second time limit 
3, Squat Lift,"75 second time limit / 7 lifts, 260 to 360 kg "
4, Keg Toss,"10 implements / 90 second time limit / 10x 22.5 kg kegs, 4.00 metres "
5, Atlas Stones,5 implements / 75 second time limit / 100 to 160 kg
