Event,Info
0,Loading Race,"3 implements / 60 second time limit / 1 sack: 125 kg, 2 tires: 160 kg each "
1, Norse Hammers,3 implements / 60 second time limit / 161 to 172 kg 
2, Squat Lift,320 kg / 60 second time limit 
3, Basque Circle,279 kg 
4, Dumbbell Press,100 kg / 60 second time limit 
5, Atlas Stones,5 implements / 60 second time limit / 150 to 210 kg
