Event,Info
0,Loading Race,4 implements / 75 second time limit / 4x 125 kg sacks 
1, Keg Toss,"8 implements / 75 second time limit / 18 to 25 kg, 4.00 metres "
2, Squat Lift,325 kg / 75 second time limit 
3, Truck Pull,12000 kg / 20 meters / 75 second time limit 
4, Block Press,4 implements / 90 second time limit / 110 to 150 kg 
5, Atlas Stones,5 implements / 75 second time limit / 120 to 180 kg
