Event,Info
0,Loading Race,3 implements / 14 meters / 75 second time limit / 3x 130 kg oil drums 
1, Fingal's Fingers,5 implements / 60 second time limit / 145 to 175 kg 
2, Keg Toss,"15 kg / For max height, 3 attempts to clear each height "
3, Deadlift,363 kg / 60 second time limit / Car deadlift 
4, Dumbbell Press,100 kg / 60 second time limit 
5, Atlas Stones,5 implements / 60 second time limit / 138 to 200 kg
