Event,Info
Loading Race,"3 implements / 60 second time limit / 1 sack: 125 kg, 2 tires: 160 kg each "
 Norse Hammers,3 implements / 60 second time limit / 161 to 172 kg 
 Squat Lift,320 kg / 60 second time limit 
 Dumbbell Press,100 kg / 60 second time limit 
 Bus Pull,17500 kg / 25 meters / 60 second time limit 
 Atlas Stones,5 implements / 60 second time limit / 150 to 210 kg
