Event,Info
Loading Race,4 implements / 12 meters / 75 second time limit / 4x 125 kg sacks 
 Truck Pull,18000 kg / 25 meters / 60 second time limit 
 Keg Toss,"15 kg / For max height, 3 attempts to clear each height "
 Deadlift,363 kg / 60 second time limit / Car deadlift 
 Atlas Stones,5 implements / 60 second time limit / 138 to 200 kg 
 Viking Press,154 kg / 60 second time limit / No resting allowed
