Event,Info
0,Giant's Medley,"25 meters / 75 second time limit / 125 kg anvil (10 metres), 454 kg yoke (15 metres) "
1, Max Deadlift,18-inch deadlift 
2, Keg Toss,"8 implements / 60 second time limit / 18 to 25 kg, 4.50 metres "
3, Log Ladder,5 implements / 75 second time limit / 131 to 182.5 kg 
4, Atlas Stones,5 implements / 60 second time limit / 150 to 210 kg
