Event,Info
0,Loading Race,3 implements / 75 second time limit / 3x 125 kg sacks 
1, Keg Toss,"8 implements / 75 second time limit / 17 to 24 kg, 4.00 metres "
2, Frame Carry,360 kg / 40 meters / 75 second time limit 
3, Deadlift,355 kg / 75 second time limit / Car deadlift 
4, Atlas Stones,5 implements / 75 second time limit / 100 to 180 kg
