Event,Info
0,Loading Race,3 implements / 60 second time limit / 3x 100 kg tires 
1, Overhead Medley,"4 implements / 60 second time limit / 105 kg dumbbell, 163 kg axle (2 reps on each) "
2, Keg Toss,"8 implements / 60 second time limit / 18 to 25 kg, 4.90 metres "
3, Truck Pull,24000 kg / 25 meters / 60 second time limit 
4, Squat Lift,329 kg / 60 second time limit 
5, Atlas Stones,5 implements / 60 second time limit / 130 to 186 kg
