Event,Info
0,Frame Carry,375 kg / 30 meters / 60 second time limit 
1, Deadlift,386 kg / 60 second time limit / Car deadlift 
2, Overhead Press,Standard bar for max weight 
3, Bus Pull,28000 kg / 25 meters / 60 second time limit 
4, Loading Race,"5 implements / 10 meters / 75 second time limit / 105 kg anchor, 125 kg anvil, 120 kg keg, 150 kg sack, 120 kg safe (Distance: 10-8-6-4-2 metres) "
5, Atlas Stones,5 implements / 60 second time limit / 150 to 210 kg
