Event,Info
0,Fingal's Fingers,5 implements / 75 second time limit / 200 to 300 kg 
1, Hercules Hold,160 kg 
2, Fridge Carry,410 kg / 20 meters / 75 second time limit 
3, Log Lift,130 kg / 75 second time limit 
4, Squat Lift,"75 second time limit / 7 lifts, 260 to 360 kg "
5, Ding Carry,160 kg 
6, Atlas Stones,5 implements / 75 second time limit / 100 to 160 kg
