Event,Info
0,Super Yoke,440 kg / 40 meters / 75 second time limit 
1, Bus Pull,24500 kg / 25 meters / 75 second time limit 
2, Deadlift,360 kg / 60 second time limit 
3, Natural Stones,5 implements / 75 second time limit / 137 to 170 kg 
4, Power Stairs,225 kg / 75 second time limit / 15 stairs
