Event,Info
0,Super Yoke,363 kg / 25 meters 
1, Power Stairs,200 kg / 24 stairs 
2, Farmer's Walk,120 kg / 70 meters 
3, Fingal's Fingers,5 implements / 200 to 300 kg 
4, Atlas Stones,5 implements / 95 to 160 kg
