Event,Info
0,Loading Race,"4 implements / 12 meters / 75 second time limit / 120 kg barrel, 140 kg anvil, 2x 140 kg sacks "
1, Overhead Medley,"4 implements / 60 second time limit / 60 kg double dumbbells, 100 kg circus dumbbell, 160 kg circus barbell, 170 kg log "
2, Squat Lift,340 kg / 75 second time limit 
3, Deadlift Hold,320 kg 
4, Atlas Stones,5 implements / 60 second time limit / 150 to 210 kg
