Event,Info
0,Flip & Drag,"30 meters / 75 second time limit / 400 kg tire flip (15 m), 300 kg chain drag (15 m) "
1, Farmer's Walk,120 kg / 75 meters / 75 second time limit 
2, Squat Lift,318 kg 
3, Truck Pull,30 meters / 75 second time limit 
4, Shield Carry,175 kg 
5, Deadlift,Car deadlift 
6, Atlas Stones,5 implements / 75 second time limit / 100 to 160 kg
