Event,Info
0,Frame Carry,375 kg / 30 meters / 60 second time limit 
1, Circus Barbell,163 kg / 75 second time limit 
2, Plane Pull,40000 kg / 25 meters / 60 second time limit 
3, Kettlebell Throw,"7 implements / 60 second time limit / 20 to 30 kg, 4.80 metres "
4, Atlas Stones,5 implements / 60 second time limit / 150 to 210 kg
