Event,Info
0,Giant's Medley,"25 meters / 60 second time limit / 440 kg yoke (10 m), 350 kg frame (15 m) "
1, Titan's Turntable,30 meters / 75 second time limit 
2, Keg Toss,15 kg / For height 
3, Deadlift,350 kg / 60 second time limit 
4, Atlas Stones,5 implements / 140 to 210 kg
