Event,Info
0,Tire Flip,500 kg / 60 second time limit / 6 flips 
1, Squat Lift,320 kg / 60 second time limit 
2, Viking Press,160 kg / 60 second time limit / Resting allowed 
3, Plane Pull,26000 kg / 30 meters / 60 second time limit 
4, Atlas Stones,5 implements / 60 second time limit / 150 to 210 kg
