Event,Info
0,Carry & Drag,"30 meters / 225 kg duck walk (15 m), 285 kg chain drag (15 m) "
1, Overhead Medley,4 implements / 75 second time limit / 135 to 165 kg 
2, Hercules Hold,160 kg 
3, Atlas Stones,5 implements / 75 second time limit / 100 to 160 kg 
4, Train Pull,16000 kg / 25 meters / 75 second time limit 
5, Deadlift,"75 second time limit / 7 lifts, 295 to 365 kg "
6, Farmer's Walk,120 kg / 75 meters / 75 second time limit
