Event,Info
0,Medley,"50 meters / 75 second time limit / 100 kg anchor carry (25 m), 160 kg farmer's walk (25 m) "
1, Fridge Carry,410 kg / 25 meters / 75 second time limit 
2, Deadlift,Car deadlift 
3, Squat Lift,"75 second time limit / 7 lifts, 265 to 370 kg "
4, Safe Lift,120 kg / 75 second time limit 
5, Loading Race,35 meters / 75 second time limit 
6, Atlas Stones,5 implements / 75 second time limit / 100 to 160 kg
